"name";"type";"releaseYear";"miniConsole"
"3-D Tic-Tac-Toe";"puzzle";"1980";"6"
"Adventure";"rpg";"1979";"6"
"Adventure II";"rpg";"2005";"6"
"Air-Sea Battle";"shoot'em up";"1977";"6"
"Aquaventure";"shoot'em up";"1983";"6"
"Asteroids";"shoot'em up";"1981";"6"
"Atari Climber";"arcade";"1987";"6"
"Backgammon";"board";"1979";"6"
"Barnstorming";"course";"1982";"6"
"Basketball";"sport";"1979";"6"
"Beamrider";"shoot'em up";"1984";"6"
"Black Jack";"board";"1977";"6"
"Bloody Human Freeway";"arcade";"1981";"6"
"Bowling";"sport";"1978";"6"
"Boxing";"sport";"1980";"6"
"Breakout";"arcade";"1978";"6"
"Bridge";"board";"1980";"6"
"Canyon Bomber ";"shoot'em up";"1978";"6"
"Centipede";"arcade";"1982";"6"
"Championship Soccer";"sport";"1980";"6"
"Checkers";"board";"1980";"6"
"Chopper Command";"shoot'em up";"1982";"6"
"Circus Atari";"arcade";"1978";"6"
"Combat Two";"shoot'em up";"1982";"6"
"Combat";"shoot'em up";"1978";"6"
"Cosmic Commuter";"arcade";"1984";"6"
"Crackpots";"shoot'em up";"1983";"6"
"Crystal Castles";"arcade";"1984";"6"
"Decathlon";"sport";"";"6"
"Demons to Diamonds";"shoot'em up";"1982";"6"
"Desert Falcon";"shoot'em up";"1987";"6"
"Dodge Em";"arcade";"1980";"6"
"Dolphin";"arcade";"1983";"6"
"Double Dunk";"sport";"1988";"6"
"Dragster";"course";"1980";"6"
"Enduro";"course";"1983";"6"
"Fatal Run";"course";"1989";"6"
"Fishing Derby";"arcade";"1980";"6"
"Flag Capture";"puzzle";"1978";"6"
"Football";"sport";"1988";"6"
"Freeway";"arcade";"1981";"6"
"Frog Pond";"arcade";"1982";"6"
"Front Line";"arcade";"1984";"6"
"Frostbite";"arcade";"1983";"6"
"Fun with Numbers";"education";"1977";"6"
"Golf";"sport";"1978";"6"
"Grand Prix";"course";"1982";"6"
"Gravitar";"shoot'em up";"1983";"6"
"H.E.R.O.";"action";"1984";"6"
"Hangman";"board";"1978";"6"
"Haunted House";"aventure";"1981";"6"
"Home Run";"sport";"1978";"6"
"Human Cannonball";"shoot'em up";"1978";"6"
"Ice Hockey";"sport";"1981";"6"
"Indy 500";"course";"1978";"6"
"Jungle Hunt";"arcade";"1983";"6"
"Kaboom!";"arcade";"1981";"6"
"Keystone Kapers";"plateforme";"1983";"6"
"Laser Blast";"shoot'em up";"1981";"6"
"Maze Craze";"arcade";"1978";"6"
"Megamania";"shoot'em up";"1982";"6"
"Millipede";"arcade";"1984";"6"
"Miniature Golf";"sport";"1978";"6"
"Missile Command";"arcade";"1980";"6"
"MotoRodeo";"course";"1990";"6"
"Night Driver";"course";"1980";"6"
"Off The Wall";"arcade";"1989";"6"
"Oink!";"arcade";"1983";"6"
"Outlaw";"shoot'em up";"1979";"6"
"Pitfall II: Lost Caverns";"plateforme";"1984";"6"
"Pitfall!";"plateforme";"1983";"6"
"Plaque Attack";"shoot'em up";"1983";"6"
"Polaris";"shoot'em up";"1983";"6"
"Pong (Video Olympics)";"arcade";"1977";"6"
"Pressure Cooker";"arcade";"1983";"6"
"Radar Lock";"shoot'em up";"1989";"6"
"Realsports Baseball";"sport";"1982";"6"
"Realsports Basketball";"sport";"1983";"6"
"Realsports Soccer";"sport";"1982";"6"
"Realsports Volleyball";"sport";"1983";"6"
"Return to Haunted";"aventure";"2005";"6"
"River Raid";"shoot'em up";"1982";"6"
"River Raid II";"shoot'em up";"1988";"6"
"Robot Tank";"shoot'em up";"1983";"6"
"Saboteur";"shoot'em up";"1983";"6"
"Save Mary";"arcade";"1989";"6"
"Seaquest";"shoot'em up";"1983";"6"
"Secret Quest";"aventure";"1989";"6"
"Skiing";"sport";"1980";"6"
"Sky Diver";"arcade";"1978";"6"
"Slot Machine";"puzzle";"1979";"6"
"Slot Racers";"arcade";"1978";"6"
"Solaris";"simulation";"1986";"6"
"Space Invaders";"shoot'em up";"1980";"6"
"Space War";"shoot'em up";"1978";"6"
"Spider Fighter";"shoot'em up";"1982";"6"
"Sprintmaster";"course";"1988";"6"
"Stampede";"action";"1981";"6"
"Star Ship";"simulation";"1977";"6"
"Starmaster";"simulation";"1982";"6"
"Steeplechase";"sport";"1980";"6"
"Stellar Track";"textuel";"1980";"6"
"Street Racer";"course";"1977";"6"
"Submarine Commander";"simulation";"1982";"6"
"Super Baseball";"sport";"";"6"
"Super Breakout";"arcade";"1978";"6"
"Super Football";"sport";"1988";"6"
"Surround";"arcade";"1977";"6"
"Swordquest: Earthworld";"rpg";"1982";"6"
"Swordquest: Fireworld";"rpg";"1983";"6"
"Swordquest: Waterworld";"rpg";"1984";"6"
"Tempest";"shoot'em up";"1981";"6"
"Tennis";"sport";"1981";"6"
"Video Checkers";"board";"1980";"6"
"Video Chess";"board";"1979";"6"
"Video Pinball";"flipper";"1978";"6"
"Warlords";"action";"1981";"6"
"Wizard";"aventure";"2005";"6"
"Yars  Return";"shoot'em up";"2005";"6"
"Yars  Revenge";"shoot'em up";"1981";"6"
"House";"aventure";"1982";"6"
"Balloon Fight";"arcade";"1984";"11"
"Bubble Bobble";"plateforme";"1988";"11"
"Castlevania";"action";"1986";"11"
"Castlevania II: Simon's Quest";"action";"1989";"11"
"Donkey Kong";"plateforme";"1983";"11"
"Donkey Kong Jr.";"plateforme";"1986";"11"
"Double Dragon II: The Revenge";"beat'em up";"1989";"11"
"Dr Mario";"puzzle";"1989";"11"
"Excitebike";"course";"1984";"11"
"Final Fantasy";"rpg";"1987";"11"
"Galaga";"shoot'em up";"1984";"11"
"Ghosts'n Goblins";"action";"1986";"11"
"Gradius";"shoot'em up";"1986";"11"
"Ice Climber";"arcade";"1984";"11"
"Kid Icarus";"plateforme";"1986";"11"
"Kirby's Adventure";"plateforme";"1993";"11"
"Mario Bros.";"arcade";"1986";"11"
"Mega Man 2";"action";"1988";"11"
"Metroid";"plateforme";"1986";"11"
"Ninja Gaiden";"action";"1988";"11"
"Pac-Man";"arcade";"1984";"11"
"Punch-Out!!";"sport";"1987";"11"
"StarTropics";"rpg";"1990";"11"
"Super C";"action";"1988";"11"
"Super Mario Bros.";"plateforme";"1983";"11"
"Super Mario Bros. 2";"plateforme";"1988";"11"
"Super Mario Bros. 3";"plateforme";"1990";"11"
"Tecmo Bowl";"sport";"1988";"11"
"The Legend of Zelda";"rpg";"1987";"11"
"Zelda II: The Adventure of Link";"rpg";"1988";"11"
"Donkey Kong Country";"plateforme";"1994";"16"
"EarthBound";"rpg";"1994";"16"
"Final Fantasy VI (Final Fantasy III)";"rpg";"1994";"16"
"F-Zero";"course";"1991";"16"
"Kirby's Dream Course";"course";"1995";"16"
"Kirby's Fun Pak (Kirby Super Star)";"mini-jeux";"1996";"16"
"Mega Man X";"action";"1994";"16"
"Secret of Mana";"rpg";"1994";"16"
"Star Fox";"shoot'em up";"1993";"16"
"Star Fox 2";"shoot'em up";"2017";"16"
"Street Fighter II': Hyper Fighting";"combat";"1993";"16"
"Super Castlevania IV";"action";"1992";"16"
"Super Ghouls'n Ghosts";"action";"1992";"16"
"Super Mario Kart";"course";"1992";"16"
"Super Mario RPG: Legend of the Seven Stars";"rpg";"1996";"16"
"Super Mario World";"plateforme";"1992";"16"
"Super Mario World 2: Yoshi's Island";"plateforme";"1995";"16"
"Super Metroid";"action";"1994";"16"
"Super Probotector: Alien Rebels (Contra III)";"action";"1992";"16"
"Super Punch-Out!!";"sport";"1994";"16"
"The Legend of Zelda: A Link to the Past";"rpg";"1992";"16"
"Adventures of Lolo";"puzzle";"1989";"12"
"Adventures of Lolo 2";"puzzle";"1990";"12"
"Balloon Fight";"arcade";"1984";"12"
"Baseball";"sport";"1983";"12"
"Blaster Master (+ Special Version)";"action";"1988";"12"
"City Connection";"plateforme";"1985";"12"
"Clu Clu Land";"arcade";"1984";"12"
"Clu Clu Land: Welcome to New Cluclu Land";"arcade";"1985";"12"
"Crystalis";"rpg";"1990";"12"
"Donkey Kong";"plateforme";"1983";"12"
"Donkey Kong 3";"plateforme";"1983";"12"
"Donkey Kong Jr.";"plateforme";"1986";"12"
"Double Dragon";"beat'em all";"1987";"12"
"Double Dragon II: The Revenge";"beat'em all";"1989";"12"
"Dr. Mario  (+ Special Version)";"puzzle";"1990";"12"
"Eliminator Boat Duel";"action";"1991";"12"
"Excitebike";"course";"1985";"12"
"Fire Emblem: Ankoku Ry? to Hikari no Tsurugi";"rpg";"1990";"12"
"Ghosts'n Goblins  (+ Special Version)";"action";"1985";"12"
"Gradius  (+ Special Version + Second loop)";"shoot'em up";"1986";"12"
"Ice Climber";"arcade";"1985";"12"
"Ice Hockey";"sport";"1988";"12"
"Journey to Silius";"run'n gun";"1990";"12"
"Joy Mech Fight";"combat";"1993";"12"
"Kid Icarus  (+ Special Version)";"plateforme";"1986";"12"
"Kirby's Adventure  (+ Special Version)";"plateforme";"1993";"12"
"Kung-Fu Heroes";"action";"1986";"12"
