Adventures of Lolo;puzzle;1989;12;NES;
Adventures of Lolo 2;puzzle;1990;12;NES;
Balloon Fight;arcade;1984;12;NES;
Baseball;sport;1983;12;NES;
Blaster Master (+ Special Version);action;1988;12;NES;
City Connection;plateforme;1985;12;NES;
Clu Clu Land;arcade;1984;12;NES;
Clu Clu Land: Welcome to New Cluclu Land;arcade;1985;12;NES;
Crystalis;rpg;1990;12;NES;
Donkey Kong;plateforme;1983;12;NES;
Donkey Kong 3;plateforme;1983;12;NES;
Donkey Kong Jr.;plateforme;1986;12;NES;
Double Dragon;beat'em all;1987;12;NES;
Double Dragon II: The Revenge;beat'em all;1989;12;NES;
Dr. Mario  (+ Special Version);puzzle;1990;12;NES;
Eliminator Boat Duel;action;1991;12;NES;
Excitebike;course;1985;12;NES;
Fire Emblem: Ankoku Ry? to Hikari no Tsurugi;rpg;1990;12;NES;
Ghosts'n Goblins  (+ Special Version);action;1985;12;NES;
Gradius  (+ Special Version + Second loop);shoot'em up;1986;12;NES;
Ice Climber;arcade;1985;12;NES;
Ice Hockey;sport;1988;12;NES;
Journey to Silius;run'n gun;1990;12;NES;
Joy Mech Fight;combat;1993;12;NES;
Kid Icarus  (+ Special Version);plateforme;1986;12;NES;
Kirby's Adventure  (+ Special Version);plateforme;1993;12;NES;
Kung-Fu Heroes;action;1986;12;NES;
Mario and Yoshi;puzzle;1991;12;NES;
Mario Bros.;arcade;1986;12;NES;
Metroid  (+ Special Version Mother Brain battle & Ridley battle);action;1987;12;NES;
Mighty Bomb Jack;arcade;1987;12;NES;
NES Open Tournament Golf  (+ Special Version);sport;1991;12;NES;
Ninja Gaiden  (+ Special Version);action;1988;12;NES;
Pro Wrestling;combat;1986;12;NES;
Punch-Out!!;sport;1987;12;NES;
River City Ransom;action;1989;12;NES;
S.C.A.T.: Special Cybernetic Attack Team;shoot'em up;1990;12;NES;
Shadow of the Ninja;action;1990;12;NES;
Soccer;sport;1985;12;NES;
Solomon's Key;puzzle;1986;12;NES;
Star Soldier  (+ Special Version);shoot'em up;1986;12;NES;
StarTropics;action;1990;12;NES;
Super Dodge Ball;sport;1988;12;NES;
Super Mario Bros.;plateforme;1983;12;NES;
Super Mario Bros. 2;plateforme;1988;12;NES;
Super Mario Bros. 3;plateforme;1990;12;NES;
Super Mario Bros.: The Lost Levels;plateforme;1986;12;NES;
Tecmo Bowl;sport;1988;12;NES;
Tennis;sport;1984;12;NES;
The Immortal;rpg;1990;12;NES;
The Legend of Zelda  (+ Special Version);rpg;1987;12;NES;
Tsuppari Oozumou;combat;1987;12;NES;
TwinBee  (+ Special Version);shoot'em up;1986;12;NES;
Vice: Project Doom;action;1991;12;NES;
Volleyball;sport;1986;12;NES;
Vs. Excitebike;course;1988;12;NES;
Wario's Woods;puzzle;1994;12;NES;
Wrecking Crew;arcade;1985;12;NES;
Yie Ar Kung-Fu;combat;1985;12;NES;
Zelda II: The Adventure of Link;rpg;1988;12;NES;
